acc,val_acc,loss,val_loss,epoch
0.03338472917675972,0.04254746437072754,12.50153923034668,12.434469223022461,0
0.08831541985273361,0.043220460414886475,10.087150573730469,13.752144813537598,1
0.11835077404975891,0.042320769280195236,9.396201133728027,14.951096534729004,2
0.14010098576545715,0.04074808582663536,9.03653335571289,16.009639739990234,3
0.15613530576229095,0.039161235094070435,8.824524879455566,17.017356872558594,4
0.16899070143699646,0.03821195662021637,8.709632873535156,17.96700096130371,5
0.17928914725780487,0.03658260032534599,8.640743255615234,18.876399993896484,6
0.18838974833488464,0.03645508736371994,8.607592582702637,19.70465850830078,7
0.19575193524360657,0.03644091635942459,8.599065780639648,20.605850219726562,8
0.20192700624465942,0.03506658971309662,8.611310005187988,21.447223663330078,9
